"행정구역","2025년06월_남자 평균연령","2025년06월_여자 평균연령"
"전국  (1000000000)","44.5","46.7"
"서울특별시  (1100000000)","44.3","45.9"
"서울특별시 종로구 (1111000000)","46.2","47.3"
"서울특별시 종로구 청운효자동(1111051500)","44.3","47.1"
"서울특별시 종로구 사직동(1111053000)","46.9","47.2"
"서울특별시 종로구 삼청동(1111054000)","48.9","51.3"
"서울특별시 종로구 부암동(1111055000)","45.7","48.7"
"서울특별시 종로구 평창동(1111056000)","46","48.2"
"서울특별시 종로구 무악동(1111057000)","45.2","45.4"
"서울특별시 종로구 교남동(1111058000)","43.8","45.4"
"서울특별시 종로구 가회동(1111060000)","46.9","49.9"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","51.4","48.8"
"서울특별시 종로구 종로5.6가동(1111063000)","47.3","45.7"
"서울특별시 종로구 이화동(1111064000)","45.2","45.8"
"서울특별시 종로구 혜화동(1111065000)","41.8","44.1"
"서울특별시 종로구 창신제1동(1111067000)","51.3","52.4"
"서울특별시 종로구 창신제2동(1111068000)","50.6","53.3"
"서울특별시 종로구 창신제3동(1111069000)","47.1","48.9"
"서울특별시 종로구 숭인제1동(1111070000)","47.9","50"
"서울특별시 종로구 숭인제2동(1111071000)","45.7","43.5"
"서울특별시 중구 (1114000000)","46.4","47.6"
"서울특별시 중구 소공동(1114052000)","43.7","41.9"
"서울특별시 중구 회현동(1114054000)","52.2","51.9"
"서울특별시 중구 명동(1114055000)","49","53.3"
"서울특별시 중구 필동(1114057000)","45.4","46"
"서울특별시 중구 장충동(1114058000)","42.6","45.2"
"서울특별시 중구 광희동(1114059000)","46.3","45.4"
"서울특별시 중구 을지로동(1114060500)","46","42.7"
"서울특별시 중구 신당동(1114061500)","48.1","47.3"
"서울특별시 중구 다산동(1114062500)","46.9","49.2"
"서울특별시 중구 약수동(1114063500)","48","50.8"
"서울특별시 중구 청구동(1114064500)","46.5","49.1"
"서울특별시 중구 신당제5동(1114065000)","46.3","47"
"서울특별시 중구 동화동(1114066500)","46.6","48.6"
"서울특별시 중구 황학동(1114067000)","43.9","44.2"
"서울특별시 중구 중림동(1114068000)","44.7","45.1"
"서울특별시 용산구 (1117000000)","44.7","46"
"서울특별시 용산구 후암동(1117051000)","44.8","47.6"
"서울특별시 용산구 용산2가동(1117052000)","46.3","49.7"
"서울특별시 용산구 남영동(1117053000)","52.1","48.7"
"서울특별시 용산구 청파동(1117055500)","45.3","44.9"
"서울특별시 용산구 원효로제1동(1117056000)","41.3","41.2"
"서울특별시 용산구 원효로제2동(1117057000)","45","45.3"
"서울특별시 용산구 효창동(1117058000)","43","44.3"
"서울특별시 용산구 용문동(1117059000)","45.3","47.3"
"서울특별시 용산구 한강로동(1117062500)","44","43.7"
"서울특별시 용산구 이촌제1동(1117063000)","42.9","45.1"
"서울특별시 용산구 이촌제2동(1117064000)","46.4","49.2"
"서울특별시 용산구 이태원제1동(1117065000)","46.7","50"
"서울특별시 용산구 이태원제2동(1117066000)","45.2","48.3"
"서울특별시 용산구 한남동(1117068500)","44.5","46.1"
"서울특별시 용산구 서빙고동(1117069000)","44","46.3"
"서울특별시 용산구 보광동(1117070000)","47.3","52.4"
"서울특별시 성동구 (1120000000)","44.1","45.6"
"서울특별시 성동구 왕십리제2동(1120052000)","44.1","45.3"
"서울특별시 성동구 왕십리도선동(1120053500)","42.9","44.2"
"서울특별시 성동구 마장동(1120054000)","44.4","46.2"
"서울특별시 성동구 사근동(1120055000)","37.5","39.5"
"서울특별시 성동구 행당제1동(1120056000)","43.3","44.3"
"서울특별시 성동구 행당제2동(1120057000)","44.4","45.6"
"서울특별시 성동구 응봉동(1120058000)","43.6","45.7"
"서울특별시 성동구 금호1가동(1120059000)","44.5","46.9"
"서울특별시 성동구 금호2.3가동(1120061500)","44.5","46.6"
"서울특별시 성동구 금호4가동(1120062000)","43.9","46.4"
"서울특별시 성동구 옥수동(1120064500)","43.3","45.1"
"서울특별시 성동구 성수1가제1동(1120065000)","44.7","45.7"
"서울특별시 성동구 성수1가제2동(1120066000)","43.9","45"
"서울특별시 성동구 성수2가제1동(1120067000)","47.9","48.9"
